Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_SFC_LD.FBU_LD.X034_29,’034_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y1OTPP,”1Œ“œœ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK21_2,”Ãœ 21_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XSZRY2,’—«–”2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X024_19,’024_19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRPZY2,’–œ«”2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y1P1_2TM,”1œ1_2“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X022_28,’022_28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X021_16,’021_16,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_26,’020_26,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_3,’020_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y3,”3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_29,’012_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_18,’012_18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_17,’011_17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YM3P1_3,”Ã3œ1_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_28,’011_28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY29,’1 ”29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_39,’011_39,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_1,’011_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X008_41,’008_41,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X008_30,’008_30,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YCPM1,”÷œÃ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMKO1,”Ã Œ1,BOOL,,,1,0,""
