Source variable,Destination variable,Source member,Destination member,Element location
DEVICE1.FBU_LD.PROG1.YVKISPLYUS27,DEVICE1.FBU_LD.PROG1.X019_16,,,"<LD>,(DEVICE1,FBU_LD,PROG1):759:(1,1729),READING FROM,,DEVICE1.FBU_LD.PROG1.X019_16,,(0:0),1933,0,0,"
DEVICE1.FBU_LD.PROG1.X1KY14,DEVICE1.FBU_LD.PROG1.YOTKLBRK,,,"<LD>,(DEVICE1,FBU_LD,PROG1):652:(1,1500),READING FROM,,DEVICE1.FBU_LD.PROG1.YOTKLBRK,,(0:0),1687,0,0,"
DEVICE1.FBU_LD.PROG1.YOTKLBRK1,DEVICE1.FBU_LD.PROG1.X015_3,,,"<LD>,(DEVICE1,FBU_LD,PROG1):656:(1,1508),READING FROM,,DEVICE1.FBU_LD.PROG1.X015_3,,(0:0),1697,0,0,"
DEVICE1.FBU_LD.PROG1.YOTKLBRK1,DEVICE1.FBU_LD.PROG1.X015_4,,,"<LD>,(DEVICE1,FBU_LD,PROG1):657:(1,1510),READING FROM,,DEVICE1.FBU_LD.PROG1.X015_4,,(0:0),1699,0,0,"
DEVICE1.FBU_LD.PROG1.X017_12,DEVICE1.FBU_LD.PROG1.XPWB2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):715:(1,1637),READING FROM,,DEVICE1.FBU_LD.PROG1.XPWB2,,(0:0),1830,0,0,"
DEVICE1.FBU_LD.PROG1.NK3A,DEVICE1.FBU_LD.PROG1.YNK3A,,,"<LD>,(DEVICE1,FBU_LD,PROG1):776:(2,1763),READING FROM,,DEVICE1.FBU_LD.PROG1.YNK3A,,(0:0),1972,0,0,"
DEVICE1.FBU_LD.PROG1.X024_5,DEVICE1.FBU_LD.PROG1.XSZAY11,,,"<LD>,(DEVICE1,FBU_LD,PROG1):851:(1,1918),READING FROM,,DEVICE1.FBU_LD.PROG1.XSZAY11,,(0:0),2170,0,0,"
DEVICE1.FBU_LD.PROG1.X024_17,DEVICE1.FBU_LD.PROG1.XSZZ1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):857:(1,1936),READING FROM,,DEVICE1.FBU_LD.PROG1.XSZZ1,,(0:0),2188,0,0,"
DEVICE1.FBU_LD.PROG1.X024_18,DEVICE1.FBU_LD.PROG1.XSZZ1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):857:(1,1937),READING FROM,,DEVICE1.FBU_LD.PROG1.XSZZ1,,(0:0),2189,0,0,"
DEVICE1.FBU_LD.PROG1.X025_10,DEVICE1.FBU_LD.PROG1.XZAR8,,,"<LD>,(DEVICE1,FBU_LD,PROG1):872:(1,1979),READING FROM,,DEVICE1.FBU_LD.PROG1.XZAR8,,(0:0),2232,0,0,"
DEVICE1.FBU_LD.PROG1.YPPP3_2,DEVICE1.FBU_LD.PROG1.X028_27,,,"<LD>,(DEVICE1,FBU_LD,PROG1):924:(1,2083),READING FROM,,DEVICE1.FBU_LD.PROG1.X028_27,,(0:0),2388,0,0,"
DEVICE1.FBU_LD.PROG1.YP1PWA1,DEVICE1.FBU_LD.PROG1.X034_1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):971:(1,2179),READING FROM,,DEVICE1.FBU_LD.PROG1.X034_1,,(0:0),2521,0,0,"
DEVICE1.FBU_LD.PROG1.YP1PWA1,DEVICE1.FBU_LD.PROG1.X034_2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):972:(1,2181),READING FROM,,DEVICE1.FBU_LD.PROG1.X034_2,,(0:0),2523,0,0,"
DEVICE1.FBU_LD.PROG1.YP1PRA1,DEVICE1.FBU_LD.PROG1.X034_9,,,"<LD>,(DEVICE1,FBU_LD,PROG1):989:(1,2215),READING FROM,,DEVICE1.FBU_LD.PROG1.X034_9,,(0:0),2569,0,0,"
DEVICE1.FBU_LD.PROG1.YP1PRA1,DEVICE1.FBU_LD.PROG1.X034_10,,,"<LD>,(DEVICE1,FBU_LD,PROG1):990:(1,2217),READING FROM,,DEVICE1.FBU_LD.PROG1.X034_10,,(0:0),2571,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YKYD1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1027:(2,2294),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYD1,,(0:0),2663,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YKYD1R,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1030:(2,2302),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYD1R,,(0:0),2674,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YKYD2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1033:(2,2310),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYD2,,(0:0),2685,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YKYD2R,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1036:(2,2318),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYD2R,,(0:0),2696,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YNGD1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1039:(2,2326),READING FROM,,DEVICE1.FBU_LD.PROG1.YNGD1,,(0:0),2707,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YNGD1R,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1042:(2,2334),READING FROM,,DEVICE1.FBU_LD.PROG1.YNGD1R,,(0:0),2718,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YNGD2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1045:(2,2342),READING FROM,,DEVICE1.FBU_LD.PROG1.YNGD2,,(0:0),2729,0,0,"
DEVICE1.FBU_LD.PROG1.XBONG,DEVICE1.FBU_LD.PROG1.YNGD2R,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1048:(2,2350),READING FROM,,DEVICE1.FBU_LD.PROG1.YNGD2R,,(0:0),2740,0,0,"
